datetime,value
01-11-2020 03:00,0.02
01-11-2020 03:15,0.036
01-11-2020 03:30,0.033
01-11-2020 03:45,0.016
01-11-2020 04:00,0.025
01-11-2020 04:15,0.022
01-11-2020 04:30,0.01
01-11-2020 04:45,0.023
01-11-2020 05:00,0.023
01-11-2020 05:15,0.009
01-11-2020 05:30,0.022
01-11-2020 05:45,0.024
01-11-2020 06:00,0.01
01-11-2020 06:15,0.02
01-11-2020 06:30,0.024
01-11-2020 06:45,0.011
01-11-2020 07:00,0.018
01-11-2020 07:15,0.023
01-11-2020 07:30,0.014
01-11-2020 07:45,0.016
01-11-2020 08:00,0.023
01-11-2020 08:15,0.013
01-11-2020 08:30,0.012
01-11-2020 08:45,0.022
01-11-2020 09:00,0.015
01-11-2020 09:15,0.01
01-11-2020 09:30,0.021
01-11-2020 09:45,0.018
01-11-2020 10:00,0.007
01-11-2020 10:15,0.021
01-11-2020 10:30,0.069
01-11-2020 10:45,0.01
01-11-2020 11:00,0.033
01-11-2020 11:15,0.031
01-11-2020 11:30,0.018
01-11-2020 11:45,0.027
01-11-2020 12:00,0.023
01-11-2020 12:15,0.008
01-11-2020 12:30,0.019
01-11-2020 12:45,0.027
01-11-2020 13:00,0.039
01-11-2020 13:15,0.03
01-11-2020 13:30,0.036
01-11-2020 13:45,0.04
01-11-2020 14:00,0.212
01-11-2020 14:15,0.201
01-11-2020 14:30,0.132
01-11-2020 14:45,0.031
01-11-2020 15:00,0.024
01-11-2020 15:15,0.047
01-11-2020 15:30,0.049
01-11-2020 15:45,0.045
01-11-2020 16:00,0.053
01-11-2020 16:15,0.05
01-11-2020 16:30,0.038
01-11-2020 16:45,0.058
01-11-2020 17:00,0.045
01-11-2020 17:15,0.043
01-11-2020 17:30,0.054
01-11-2020 17:45,0.02
01-11-2020 18:00,0.018
01-11-2020 18:15,0.028
01-11-2020 18:30,0.018
01-11-2020 18:45,0.017
01-11-2020 19:00,0.027
01-11-2020 19:15,0.021
01-11-2020 19:30,0.014
01-11-2020 19:45,0.027
01-11-2020 20:00,0.023
01-11-2020 20:15,0.014
01-11-2020 20:30,0.056
01-11-2020 20:45,0.086
01-11-2020 21:00,0.041
01-11-2020 21:15,0.053
01-11-2020 21:30,0.045
01-11-2020 21:45,0.041
01-11-2020 22:00,0.052
01-11-2020 22:15,0.047
01-11-2020 22:30,0.038
01-11-2020 22:45,0.058
01-11-2020 23:00,0.045
01-11-2020 23:15,0.034
01-11-2020 23:30,0.032
01-11-2020 23:45,0.027
02-11-2020 00:00,0.024
02-11-2020 00:15,0.035
02-11-2020 00:30,0.028
02-11-2020 00:45,0.019
02-11-2020 01:00,0.024
02-11-2020 01:15,0.021
02-11-2020 01:30,0.01
02-11-2020 01:45,0.02
02-11-2020 02:00,0.024
02-11-2020 02:15,0.011
02-11-2020 02:30,0.017
02-11-2020 02:45,0.023
02-11-2020 03:00,0.015
02-11-2020 03:15,0.012
02-11-2020 03:30,0.023
02-11-2020 03:45,0.018
02-11-2020 04:00,0.008
02-11-2020 04:15,0.023
02-11-2020 04:30,0.02
02-11-2020 04:45,0.008
02-11-2020 05:00,0.019
02-11-2020 05:15,0.022
02-11-2020 05:30,0.01
02-11-2020 05:45,0.016
02-11-2020 06:00,0.022
02-11-2020 06:15,0.013
02-11-2020 06:30,0.012
02-11-2020 06:45,0.034
02-11-2020 07:00,0.039
02-11-2020 07:15,0.024
02-11-2020 07:30,0.04
02-11-2020 07:45,0.037
02-11-2020 08:00,0.021
02-11-2020 08:15,0.025
02-11-2020 08:30,0.011
02-11-2020 08:45,0.024
02-11-2020 09:00,0.021
02-11-2020 09:15,0.009
02-11-2020 09:30,0.022
02-11-2020 09:45,0.022
02-11-2020 10:00,0.008
02-11-2020 10:15,0.019
02-11-2020 10:30,0.022
02-11-2020 10:45,0.008
02-11-2020 11:00,0.052
02-11-2020 11:15,0.037
02-11-2020 11:30,0.007
02-11-2020 11:45,0.171
02-11-2020 12:00,0.196
02-11-2020 12:15,0.185
02-11-2020 12:30,0.188
02-11-2020 12:45,0.194
02-11-2020 13:00,0.052
02-11-2020 13:15,0.014
02-11-2020 13:30,0.022
02-11-2020 13:45,0.013
02-11-2020 14:00,0.012
02-11-2020 14:15,0.022
02-11-2020 14:30,0.016
02-11-2020 14:45,0.008
02-11-2020 15:00,0.022
02-11-2020 15:15,0.02
02-11-2020 15:30,0.008
02-11-2020 15:45,0.018
02-11-2020 16:00,0.024
02-11-2020 16:15,0.039
02-11-2020 16:30,0.043
02-11-2020 16:45,0.055
02-11-2020 17:00,0.036
